ATF	1.0
30	41    
"Type=GenePix Export 3"
"DateTime=2021/12/14 14:38:25"
"Settings=F:\Documents\Work\Brugia glycan array - follow-up study\2021-12-05 to 14 - Repeat incubations\2021-12-14\Slide06_Bmarray_Subclasses_F532.gps"
"GalFile=D:\Biblioth鋂ues\Documents\Back-up NEB PhD\C drive\Brugia malayi\Glycan array\GAL files\GAL file Brugia_Onchocerca array Jan 2018.gal"
"PixelSize=10"
"Wavelengths=532"
"ImageFiles=F:\Documents\Work\Brugia glycan array - follow-up study\2021-12-05 to 14 - Repeat incubations\2021-12-14\Images\Slide06_US23502317_1003449802_S01_H_Flipped.tif 1"
"NormalizationMethod=None"
"NormalizationFactors=1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (635/532)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=0, 0"
"JpegOrigin=3110, 1440"
"Creator=GenePix Pro 7.2.22"
"Scanner=G2505B"
"FocusPosition=0"
"Temperature=0"
"LinesAveraged=1"
"Comment="
"PMTGain=0"
"ScanPower=100"
"LaserPower=0"
"Filters="
"ScanRegion=0,0,2160,7100"
"ScanArea=1"
"Supplier="
"Flags"	"Normalize"	"Autoflag"	"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F532 Median"	"F532 Mean"	"F532 SD"	"F532 CV"	"B532"	"B532 Median"	"B532 Mean"	"B532 SD"	"B532 CV"	"% > B532+1SD"	"% > B532+2SD"	"F532 % Sat."	"F532 Total Intensity"	"SNR 532"	"Ratio of Medians (635/532)"	"Ratio of Means (635/532)"	"Median of Ratios (635/532)"	"Mean of Ratios (635/532)"	"Ratios SD (635/532)"	"Rgn Ratio (635/532)"	"Rgn R2 (635/532)"	"Log Ratio (635/532)"	"F532 Median - B532"	"F532 Mean - B532"	"Sum of Medians (635/532)"	"Sum of Means (635/532)"	"F Pixels"	"B Pixels"	"Circularity"	"Index"
-75	0	0	1	1	1	""	""	3370	1740	100	60	63	30	47	56	56	60	30	50	5	1	0	5072	0.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	4	7	4	7	80	560	100	1
-75	0	0	1	2	1	""	""	3610	1740	100	58	58	10	17	54	54	57	16	28	13	0	0	4660	0.063	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	4	4	4	4	80	560	100	2
-75	0	0	1	3	1	""	""	3860	1740	100	98	96	37	38	60	60	64	21	32	58	45	0	7676	1.524	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	38	36	38	36	80	560	100	3
-75	0	0	1	4	1	""	""	4100	1740	100	63	63	10	15	63	63	64	20	31	4	0	0	5020	-0.050	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	0	0	0	0	80	560	100	4
-75	0	0	1	5	1	""	""	4350	1740	100	62	61	10	16	62	62	64	15	23	3	1	0	4890	-0.200	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	0	-1	0	-1	80	560	100	5
-75	0	0	1	6	1	""	""	4590	1740	100	63	65	12	18	62	62	64	16	25	4	1	0	5189	0.063	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	1	3	1	3	80	560	100	6
-75	0	0	1	7	1	""	""	4840	1740	100	68	66	11	16	63	63	65	18	27	6	1	0	5290	0.056	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	5	3	5	3	80	560	100	7
-75	0	0	1	8	1	""	""	5080	1740	100	65	66	12	18	64	64	66	13	19	14	4	0	5290	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	1	2	1	2	80	560	100	8
-75	0	0	1	9	1	""	""	5330	1740	100	65	66	12	18	66	66	68	16	23	5	1	0	5304	-0.125	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	-1	0	-1	0	80	560	100	9
-75	0	0	1	1	2	""	""	3370	1990	100	65	70	38	54	55	55	81	169	208	1	0	0	5585	-0.065	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	10	15	10	15	80	560	100	10
-75	0	0	1	2	2	""	""	3610	1990	100	62	63	10	15	54	54	56	17	30	19	1	0	5020	0.412	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	8	9	8	9	80	560	100	11
-75	0	0	1	3	2	""	""	3860	1990	100	62	63	11	17	58	58	57	12	21	24	6	0	5040	0.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	4	5	4	5	80	560	100	12
-75	0	0	1	4	2	""	""	4100	1990	100	63	63	11	17	62	62	63	10	15	15	3	0	5041	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	1	1	1	1	80	560	100	13
-75	0	0	1	5	2	""	""	4350	1990	100	63	65	13	20	62	62	63	15	23	14	5	0	5234	0.133	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	1	3	1	3	80	560	100	14
-75	0	0	1	6	2	""	""	4590	1990	100	64	63	10	15	62	62	63	11	17	14	4	0	5065	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	2	1	2	1	80	560	100	15
