ATF	1.0
30	41    
"Type=GenePix Export 3"
"DateTime=2021/12/14 14:38:47"
"Settings=F:\Documents\Work\Brugia glycan array - follow-up study\2021-12-05 to 14 - Repeat incubations\2021-12-14\Slide07_Bmarray_Subclasses_F635.gps"
"GalFile=D:\Biblioth鋂ues\Documents\Back-up NEB PhD\C drive\Brugia malayi\Glycan array\GAL files\GAL file Brugia_Onchocerca array Jan 2018.gal"
"PixelSize=10"
"Wavelengths=635"
"ImageFiles=F:\Documents\Work\Brugia glycan array - follow-up study\2021-12-05 to 14 - Repeat incubations\2021-12-14\Images\Slide07_US23502317_1003449801_S01_H_Flipped.tif 0"
"NormalizationMethod=None"
"NormalizationFactors=1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (635/532)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=0, 0"
"JpegOrigin=2640, 1420"
"Creator=GenePix Pro 7.2.22"
"Scanner=G2505B"
"FocusPosition=0"
"Temperature=0"
"LinesAveraged=1"
"Comment="
"PMTGain=0"
"ScanPower=100"
"LaserPower=0"
"Filters="
"ScanRegion=0,0,2160,7100"
"ScanArea=1"
"Supplier="
"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F635 Median"	"F635 Mean"	"F635 SD"	"B635 Median"	"B635 Mean"	"B635"	"B635 SD"	"% > B635+1SD"	"% > B635+2SD"	"F635 % Sat."	"Ratio of Medians (635/532)"	"Ratio of Means (635/532)"	"Median of Ratios (635/532)"	"Mean of Ratios (635/532)"	"Ratios SD (635/532)"	"Rgn Ratio (635/532)"	"Rgn R2 (635/532)"	"F Pixels"	"B Pixels"	"Circularity"	"Flags"	"Normalize"	"Autoflag"	"Sum of Medians (635/532)"	"Sum of Means (635/532)"	"Log Ratio (635/532)"	"F635 Median - B635"	"F635 Mean - B635"	"F635 Total Intensity"	"SNR 635"	"F635 CV"	"B635 CV"	"Index"
1	1	1	""	""	3140	1700	100	6905	6924	370	6845	6864	6845	387	16	4	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	60	79	16.610	60	79	553895	0.155	5	5	1
1	2	1	""	""	3380	1700	100	6885	7019	590	6905	6936	6905	471	18	5	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	-20	114	16.610	-20	114	561526	0.176	8	6	2
1	3	1	""	""	3630	1700	100	6940	7193	1290	6963	7002	6963	405	21	6	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	-23	230	16.610	-23	230	575470	0.472	17	5	3
1	4	1	""	""	3870	1700	100	6954	7043	516	7092	7120	7092	413	13	5	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	-138	-49	16.610	-138	-49	563472	-0.186	7	5	4
1	5	1	""	""	4120	1700	100	7449	7497	646	7366	7499	7366	943	8	3	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	83	131	16.610	83	131	599752	-0.002	8	12	5
1	6	1	""	""	4360	1700	100	7806	7962	618	7741	7885	7741	1000	6	4	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	65	221	16.610	65	221	636980	0.077	7	12	6
1	7	1	""	""	4610	1700	100	7952	8045	482	8015	8112	8015	672	8	1	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	-63	30	16.610	-63	30	643576	-0.100	5	8	7
1	8	1	""	""	4850	1700	100	8190	8258	823	8026	8140	8026	798	18	3	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	164	232	16.610	164	232	660667	0.148	9	9	8
1	9	1	""	""	5100	1700	100	7986	8195	1399	7940	8020	7940	601	19	9	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	46	255	16.610	46	255	655584	0.291	17	7	9
1	1	2	""	""	3140	1950	100	6635	6711	435	6743	6776	6743	420	11	4	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	-108	-32	16.610	-108	-32	536919	-0.155	6	6	10
1	2	2	""	""	3380	1950	100	6751	6829	851	6711	6745	6711	414	13	6	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	40	118	16.610	40	118	546300	0.203	12	6	11
1	3	2	""	""	3630	1950	100	6726	6806	707	6698	6722	6698	500	11	5	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	28	108	16.610	28	108	544504	0.168	10	7	12
1	4	2	""	""	3870	1950	100	6657	6658	321	6667	6696	6667	508	6	0	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	-10	-9	16.610	-10	-9	532669	-0.075	4	7	13
1	5	2	""	""	4120	1950	100	7076	7217	961	6947	6990	6947	661	14	4	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	129	270	16.610	129	270	577322	0.343	13	9	14
1	6	2	""	""	4360	1950	100	7342	7376	427	7318	7388	7318	941	3	1	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	24	58	16.610	24	58	590070	-0.013	5	12	15
1	7	2	""	""	4610	1950	100	7696	7785	607	7599	7708	7599	690	10	4	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	97	186	16.610	97	186	622832	0.112	7	8	16
1	8	2	""	""	4850	1950	100	7883	7906	540	7792	7900	7792	744	11	4	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	91	114	16.610	91	114	632448	0.008	6	9	17
1	9	2	""	""	5100	1950	100	7747	7808	493	7766	7899	7766	773	9	0	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	-19	42	16.610	-19	42	624645	-0.118	6	9	18
1	1	3	""	""	3140	2190	100	6417	6502	629	6304	6346	6304	468	16	5	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	113	198	16.610	113	198	520170	0.333	9	7	19
