ATF	1.0
30	41    
"Type=GenePix Export 3"
"DateTime=2021/12/10 16:43:28"
"Settings=F:\Documents\Work\Brugia glycan array - follow-up study\2021-12-05 to 14 - Repeat incubations\2021-12-10\Raw Data\Slide12_Bmarray_Subclasses_F532.gps"
"GalFile=D:\Biblioth鋂ues\Documents\Back-up NEB PhD\C drive\Brugia malayi\Glycan array\GAL files\GAL file Brugia_Onchocerca array Jan 2018.gal"
"PixelSize=10"
"Wavelengths=532"
"ImageFiles=F:\Documents\Work\Brugia glycan array - follow-up study\2021-12-05 to 14 - Repeat incubations\2021-12-10\Raw Data\Slide12_US23502317_1003449802_S01_H_Flipped.tif 1"
"NormalizationMethod=None"
"NormalizationFactors=1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (635/532)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=0, 0"
"JpegOrigin=2630, 1420"
"Creator=GenePix Pro 7.2.22"
"Scanner=G2505B"
"FocusPosition=0"
"Temperature=0"
"LinesAveraged=1"
"Comment="
"PMTGain=0"
"ScanPower=100"
"LaserPower=0"
"Filters="
"ScanRegion=0,0,2160,7100"
"ScanArea=1"
"Supplier="
"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F532 Median"	"F532 Median - B532"	"F532 Mean - B532"	"Index"	"F532 Mean"	"F532 SD"	"B532 Median"	"B532 Mean"	"B532"	"B532 SD"	"% > B532+1SD"	"% > B532+2SD"	"F532 CV"	"B532 CV"	"F532 % Sat."	"Ratio of Medians (635/532)"	"Ratio of Means (635/532)"	"Median of Ratios (635/532)"	"Mean of Ratios (635/532)"	"Ratios SD (635/532)"	"Rgn Ratio (635/532)"	"F532 Total Intensity"	"SNR 532"	"Rgn R2 (635/532)"	"F Pixels"	"B Pixels"	"Circularity"	"Flags"	"Normalize"	"Autoflag"	"Sum of Medians (635/532)"	"Sum of Means (635/532)"	"Log Ratio (635/532)"
1	1	1	""	""	2860	1770	100	56	2	2	1	56	8	54	55	54	8	23	4	14	14	0	0.000	0.000	0.000	0.000	0.000	0.000	4468	0.125	0.000	80	560	100	-75	0	0	2	2	Error
1	2	1	""	""	3100	1770	100	53	0	1	2	54	8	53	53	53	8	19	4	14	15	0	0.000	0.000	0.000	0.000	0.000	0.000	4328	0.125	0.000	80	560	100	-75	0	0	0	1	Error
1	3	1	""	""	3350	1770	100	55	-1	0	3	56	8	56	56	56	8	13	5	14	14	0	0.000	0.000	0.000	0.000	0.000	0.000	4489	0.000	0.000	80	560	100	-75	0	0	-1	0	Error
1	4	1	""	""	3590	1770	100	65	5	6	4	66	11	60	61	60	10	28	9	16	16	0	0.000	0.000	0.000	0.000	0.000	0.000	5254	0.500	0.000	80	560	100	-75	0	0	5	6	Error
1	5	1	""	""	3840	1770	100	62	4	3	5	61	7	58	59	58	9	16	1	11	15	0	0.000	0.000	0.000	0.000	0.000	0.000	4912	0.222	0.000	80	560	100	-75	0	0	4	3	Error
1	6	1	""	""	4080	1770	100	53	-2	-2	6	53	8	55	55	55	9	11	0	15	16	0	0.000	0.000	0.000	0.000	0.000	0.000	4258	-0.222	0.000	80	560	100	-75	0	0	-2	-2	Error
1	7	1	""	""	4330	1770	100	49	-2	-2	7	49	7	51	52	51	8	9	0	14	15	0	0.000	0.000	0.000	0.000	0.000	0.000	3953	-0.375	0.000	80	560	100	-75	0	0	-2	-2	Error
1	8	1	""	""	4570	1770	100	48	-5	-4	8	49	8	53	56	53	14	3	0	16	25	0	0.000	0.000	0.000	0.000	0.000	0.000	3917	-0.500	0.000	80	560	100	-75	0	0	-5	-4	Error
1	9	1	""	""	4820	1770	100	55	-11	-4	9	62	24	66	72	66	25	9	4	38	34	0	0.000	0.000	0.000	0.000	0.000	0.000	4943	-0.400	0.000	80	560	100	-75	0	0	-11	-4	Error
1	1	2	""	""	2860	2020	100	54	1	2	10	55	9	53	53	53	8	19	6	16	15	0	0.000	0.000	0.000	0.000	0.000	0.000	4370	0.250	0.000	80	560	100	-75	0	0	1	2	Error
1	2	2	""	""	3100	2020	100	53	1	1	11	53	8	52	53	52	8	16	1	15	15	0	0.000	0.000	0.000	0.000	0.000	0.000	4218	0.000	0.000	80	560	100	-75	0	0	1	1	Error
1	3	2	""	""	3350	2020	100	53	1	1	12	53	8	52	53	52	8	18	5	15	15	0	0.000	0.000	0.000	0.000	0.000	0.000	4265	0.000	0.000	80	560	100	-75	0	0	1	1	Error
1	4	2	""	""	3590	2020	100	53	-1	0	13	54	9	54	55	54	9	19	4	16	16	0	0.000	0.000	0.000	0.000	0.000	0.000	4318	-0.111	0.000	80	560	100	-75	0	0	-1	0	Error
1	5	2	""	""	3840	2020	100	56	1	1	14	56	9	55	56	55	9	13	1	16	16	0	0.000	0.000	0.000	0.000	0.000	0.000	4478	0.000	0.000	80	560	100	-75	0	0	1	1	Error
1	6	2	""	""	4080	2020	100	52	-2	-3	15	51	8	54	55	54	8	8	0	15	14	0	0.000	0.000	0.000	0.000	0.000	0.000	4106	-0.500	0.000	80	560	100	-75	0	0	-2	-3	Error
1	7	2	""	""	4330	2020	100	57	2	2	16	57	8	55	56	55	9	18	4	14	16	0	0.000	0.000	0.000	0.000	0.000	0.000	4580	0.111	0.000	80	560	100	-75	0	0	2	2	Error
1	8	2	""	""	4570	2020	100	50	-5	-5	17	50	8	55	56	55	13	1	0	16	23	0	0.000	0.000	0.000	0.000	0.000	0.000	4004	-0.462	0.000	80	560	100	-75	0	0	-5	-5	Error
1	9	2	""	""	4820	2020	100	57	-1	3	18	61	23	58	62	58	22	9	5	37	35	0	0.000	0.000	0.000	0.000	0.000	0.000	4894	-0.045	0.000	80	560	100	-75	0	0	-1	3	Error
1	1	3	""	""	2860	2260	100	53	1	0	19	52	7	52	53	52	8	11	1	13	15	0	0.000	0.000	0.000	0.000	0.000	0.000	4179	-0.125	0.000	80	560	100	-75	0	0	1	0	Error
1	2	3	""	""	3100	2260	100	49	-2	-1	20	50	7	51	51	51	8	11	3	14	15	0	0.000	0.000	0.000	0.000	0.000	0.000	3977	-0.125	0.000	80	560	100	-75	0	0	-2	-1	Error
1	3	3	""	""	3350	2260	100	50	-1	0	21	51	7	51	51	51	8	13	3	13	15	0	0.000	0.000	0.000	0.000	0.000	0.000	4093	0.000	0.000	80	560	100	-75	0	0	-1	0	Error
1	4	3	""	""	3590	2260	100	50	-1	-1	22	50	8	51	52	51	8	14	4	16	15	0	0.000	0.000	0.000	0.000	0.000	0.000	4031	-0.250	0.000	80	560	100	-75	0	0	-1	-1	Error
1	5	3	""	""	3840	2260	100	51	1	2	23	52	7	50	53	50	28	0	0	13	52	0	0.000	0.000	0.000	0.000	0.000	0.000	4137	-0.036	0.000	80	560	100	-75	0	0	1	2	Error
1	6	3	""	""	4080	2260	100	51	-1	0	24	52	7	52	53	52	9	8	0	13	16	0	0.000	0.000	0.000	0.000	0.000	0.000	4132	-0.111	0.000	80	560	100	-75	0	0	-1	0	Error
1	7	3	""	""	4330	2260	100	53	-2	-1	25	54	9	55	56	55	10	6	1	16	17	0	0.000	0.000	0.000	0.000	0.000	0.000	4299	-0.200	0.000	80	560	100	-75	0	0	-2	-1	Error
1	8	3	""	""	4570	2260	100	57	1	2	26	58	8	56	57	56	15	6	0	13	26	0	0.000	0.000	0.000	0.000	0.000	0.000	4603	0.067	0.000	80	560	100	-75	0	0	1	2	Error
1	9	3	""	""	4820	2260	100	58	2	1	27	57	9	56	58	56	16	4	1	15	27	0	0.000	0.000	0.000	0.000	0.000	0.000	4582	-0.062	0.000	80	560	100	-75	0	0	2	1	Error
1	1	4	""	""	2860	2510	100	51	0	0	28	51	7	51	51	51	8	10	1	13	15	0	0.000	0.000	0.000	0.000	0.000	0.000	4054	0.000	0.000	80	547	100	-75	0	0	0	0	Error
1	2	4	""	""	3100	2510	100	48	-1	0	29	49	7	49	49	49	8	13	3	14	16	0	0.000	0.000	0.000	0.000	0.000	0.000	3929	0.000	0.000	80	546	100	-75	0	0	-1	0	Error
1	3	4	""	""	3350	2510	100	48	0	1	30	49	8	48	49	48	8	18	4	16	16	0	0.000	0.000	0.000	0.000	0.000	0.000	3944	0.000	0.000	80	538	100	-75	0	0	0	1	Error
1	4	4	""	""	3590	2510	100	52	0	0	31	52	8	52	53	52	11	10	1	15	20	0	0.000	0.000	0.000	0.000	0.000	0.000	4191	-0.091	0.000	80	560	100	-75	0	0	0	0	Error
1	5	4	""	""	3840	2510	100	51	0	5	32	56	25	51	52	51	10	15	9	44	19	0	0.000	0.000	0.000	0.000	0.000	0.000	4504	0.400	0.000	80	560	100	-75	0	0	0	5	Error
1	6	4	""	""	4080	2510	100	54	0	1	33	55	8	54	56	54	12	10	1	14	21	0	0.000	0.000	0.000	0.000	0.000	0.000	4387	-0.083	0.000	80	560	100	-75	0	0	0	1	Error
