ATF	1.0
30	41    
"Type=GenePix Export 3"
"DateTime=2018/03/07 19:14:21"
"Settings=Z:\Laudine\Agilent Scanner Glycan Array\Sn10_after_treatment_100pct_IgG.gps"
"GalFile=C:\Users\lpetralia\Documents\R drive\Brugia malayi\Glycan array\GAL files\GAL file Brugia_Onchocerca array Jan 2018.gal"
"PixelSize=10"
"Wavelengths=532"
"ImageFiles=Z:\Laudine\Agilent Scanner Glycan Array\2018.03.07\US23502317_1003449801_Sn10_AfterTreatment_10pct_flipped.tif 1"
"NormalizationMethod=None"
"NormalizationFactors=1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (635/532)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=0, 0"
"JpegOrigin=2590, 1260"
"Creator=GenePix Pro 7.2.22"
"Scanner=G2505B"
"FocusPosition=0"
"Temperature=0"
"LinesAveraged=1"
"Comment="
"PMTGain=0"
"ScanPower=100"
"LaserPower=0"
"Filters="
"ScanRegion=0,0,2160,7100"
"ScanArea=1"
"Supplier="
"Flags"	"Normalize"	"Autoflag"	"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F532 Median"	"F532 Mean"	"F532 SD"	"F532 CV"	"B532"	"B532 Median"	"B532 Mean"	"B532 SD"	"B532 CV"	"% > B532+1SD"	"% > B532+2SD"	"F532 % Sat."	"F532 Total Intensity"	"SNR 532"	"Ratio of Medians (635/532)"	"Ratio of Means (635/532)"	"Median of Ratios (635/532)"	"Mean of Ratios (635/532)"	"Ratios SD (635/532)"	"Rgn Ratio (635/532)"	"Rgn R2 (635/532)"	"Log Ratio (635/532)"	"F532 Median - B532"	"F532 Mean - B532"	"Sum of Medians (635/532)"	"Sum of Means (635/532)"	"F Pixels"	"B Pixels"	"Circularity"	"Index"
-75	0	0	1	1	1	""	""	2930	1460	100	60	65	14	21	74	74	75	12	16	11	6	0	5231	-0.833	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	-14	-9	-14	-9	80	560	100	1
-75	0	0	1	2	1	""	""	3170	1460	100	96	97	8	8	96	96	97	15	15	4	0	0	7791	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	0	1	0	1	80	560	100	2
-75	0	0	1	3	1	""	""	3420	1460	100	101	102	6	5	100	100	101	8	7	13	1	0	8128	0.125	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	1	2	1	2	80	560	100	3
-75	0	0	1	4	1	""	""	3660	1460	100	100	102	9	8	100	100	101	13	12	5	4	0	8134	0.077	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	0	2	0	2	80	560	100	4
-75	0	0	1	5	1	""	""	3910	1460	100	94	93	7	7	93	93	94	10	10	11	0	0	7470	-0.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	1	0	1	0	80	560	100	5
-75	0	0	1	6	1	""	""	4150	1460	100	103	104	7	6	102	102	102	10	9	10	1	0	8300	0.200	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	1	2	1	2	80	560	100	6
-75	0	0	1	7	1	""	""	4400	1460	100	101	102	9	8	104	104	105	8	7	6	3	0	8127	-0.375	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	-3	-2	-3	-2	80	560	100	7
-75	0	0	1	8	1	""	""	4640	1460	100	112	111	8	7	103	103	104	10	9	40	10	0	8911	0.700	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	9	8	9	8	80	560	100	8
-75	0	0	1	9	1	""	""	4890	1460	100	110	111	10	9	104	104	105	10	9	30	6	0	8877	0.600	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	6	7	6	7	80	560	100	9
-75	0	0	1	1	2	""	""	2930	1710	100	64	66	9	13	69	69	70	13	18	6	0	0	5243	-0.308	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	-5	-3	-5	-3	80	560	100	10
-75	0	0	1	2	2	""	""	3170	1710	100	103	103	8	7	99	99	99	12	12	14	1	0	8270	0.333	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	4	4	4	4	80	560	100	11
-75	0	0	1	3	2	""	""	3420	1710	100	102	103	12	11	104	104	104	9	8	19	8	0	8241	-0.111	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	-2	-1	-2	-1	80	560	100	12
-75	0	0	1	4	2	""	""	3660	1710	100	100	100	8	8	99	99	100	10	10	10	3	0	8034	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	1	1	1	1	80	560	100	13
-75	0	0	1	5	2	""	""	3910	1710	100	97	98	11	11	89	89	90	11	12	34	13	0	7839	0.727	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	8	9	8	9	80	560	100	14
-75	0	0	1	6	2	""	""	4150	1710	100	91	96	23	23	92	92	95	16	16	16	6	0	7656	0.063	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	-1	4	-1	4	80	560	100	15
-75	0	0	1	7	2	""	""	4400	1710	100	88	90	11	12	95	95	95	11	11	6	1	0	7183	-0.455	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	-7	-5	-7	-5	80	560	100	16
-75	0	0	1	8	2	""	""	4640	1710	100	95	96	10	10	98	98	98	7	7	5	4	0	7653	-0.286	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	-3	-2	-3	-2	80	560	100	17
-75	0	0	1	9	2	""	""	4890	1710	100	101	101	7	6	97	97	97	14	14	5	1	0	8044	0.286	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	4	4	4	4	80	560	100	18
-75	0	0	1	1	3	""	""	2930	1950	100	72	72	9	12	71	71	73	17	23	1	0	0	5737	-0.059	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	1	1	1	1	80	560	100	19
-75	0	0	1	2	3	""	""	3170	1950	100	101	100	10	10	93	93	93	11	11	29	5	0	8018	0.636	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	8	7	8	7	80	560	100	20
-75	0	0	1	3	3	""	""	3420	1950	100	92	93	7	7	96	96	96	11	11	6	0	0	7423	-0.273	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	-4	-3	-4	-3	80	560	100	21
-75	0	0	1	4	3	""	""	3660	1950	100	85	87	11	12	90	90	91	11	12	9	1	0	6952	-0.364	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	-5	-3	-5	-3	80	560	100	22
-75	0	0	1	5	3	""	""	3910	1950	100	84	84	6	7	80	80	78	13	16	9	0	0	6737	0.462	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	4	4	4	4	80	560	100	23
-75	0	0	1	6	3	""	""	4150	1950	100	72	72	9	12	77	77	77	12	15	1	0	0	5786	-0.417	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	-5	-5	-5	-5	80	560	100	24
